,event_date,longitude,latitude
68,2013-11-13 09:00:00,108.3564,14.9489
3,2007-10-15 00:00:00,107.9408,15.6045
74,2014-09-17 08:00:00,106.9004,21.8689
82,2015-08-04 00:00:00,103.1644,22.0596
75,2015-03-11 09:00:00,105.8144,10.2824
6,2007-11-09 00:00:00,108.2167,15.3333
86,2015-08-15 00:00:00,105.8437,20.8606
84,2015-08-15 00:00:00,105.7341,20.8404
79,2015-07-28 00:00:00,107.4603,21.0893
63,2013-07-28 00:00:00,103.9847,21.2331
98,2017-05-30 13:34:00,104.9913709,8.757672854
91,2016-08-05 00:00:00,103.8646,22.3608
71,2013-11-22 06:00:00,108.3574,14.9627
53,2011-04-01 06:00:00,105.4625,18.9954
27,2009-10-23 00:00:00,107.7424,16.3395
18,2008-10-16 00:00:00,108.133,16.2
59,2011-11-26 00:00:00,108.8115,15.1257
90,2016-05-08 00:00:00,107.2772,21.0552
60,2012-04-02 00:00:00,108.9163,12.2736
94,2016-09-14 16:35:00,105.219712,19.603396
104,2017-07-03 14:33:00,104.4530851,22.69040325
1,2007-10-05 00:00:00,105.35,20.04
76,2015-05-26 09:00:00,105.7492,10.006
42,2010-11-07 00:00:00,109.2094,13.3114
41,2010-11-04 00:00:00,108.9881,11.989
4,2007-10-30 00:00:00,107.966,15.5946
15,2008-09-25 00:00:00,106.623,21.3
17,2008-10-12 00:00:00,107.88,15.8
40,2010-11-01 00:00:00,107.5989,16.375
38,2010-10-04 00:00:00,105.663,18.5554
5,2007-11-05 00:00:00,108.4852,15.234
96,2016-12-20 14:02:00,109.171376,12.183736
54,2011-05-12 00:00:00,104.4989,22.1915
0,2007-07-01 00:00:00,107.293,21.0233
34,2010-08-17 00:00:00,107.3397,21.3161
28,2009-11-05 00:00:00,108.4671,15.5721
55,2011-05-12 00:00:00,103.8838,22.4209
50,2010-11-16 00:00:00,107.9887,15.608
11,2008-08-07 00:00:00,104.07,22.2666
35,2010-08-22 00:00:00,104.1608,21.7653
23,2009-09-03 00:00:00,108.1089,16.0971
52,2010-12-25 00:00:00,109.2164,13.3137
10,2008-07-26 00:00:00,104.48,22.75
31,2010-07-24 00:00:00,103.9618,22.2931
78,2015-07-06 00:00:00,104.9077,8.7342
57,2011-09-13 15:00:00,103.9989,22.3405
80,2015-07-28 00:00:00,107.2971,21.0268
89,2015-08-22 19:00:00,105.5054,23.1781
32,2010-07-24 00:00:00,104.5595,22.6966
92,2016-08-23 17:45:00,103.993894,22.039752
14,2008-09-25 00:00:00,104.0,21.25
73,2014-09-17 00:00:00,106.6974,21.9564
19,2008-10-17 00:00:00,107.2327,16.5489
29,2010-01-23 05:00:00,104.5916,21.4936
49,2010-11-16 00:00:00,108.5747,15.1029
102,2017-07-03 14:33:00,105.4244893,23.16100191
103,2017-07-03 14:33:00,105.5299971,23.14383048
69,2013-11-15 00:00:00,108.3348,14.9847
20,2008-10-26 00:00:00,108.69,15.3239
99,2017-06-27 13:20:00,105.4547324,9.237362549
72,2013-11-22 23:00:00,109.0574,12.9564
77,2015-07-01 23:00:00,106.7188,10.8549
25,2009-09-29 00:00:00,107.8584,14.5179
37,2010-10-03 00:00:00,106.593,17.4468
81,2015-08-02 21:00:00,105.9839,22.7672
46,2010-11-11 00:00:00,108.4489,15.0376
95,2016-10-07 00:00:00,107.5007,16.5281
39,2010-10-17 00:00:00,107.2806,16.2137
65,2013-08-23 00:00:00,105.4748,23.2291
58,2011-11-25 00:00:00,108.7301,14.743
12,2008-08-27 00:00:00,104.6667,22.75
93,2016-08-24 17:45:00,103.8448574,22.33644964
88,2015-08-15 00:00:00,105.7431,20.688
70,2013-11-16 16:00:00,108.3927,15.4522
87,2015-08-15 00:00:00,105.7586,21.0324
36,2010-09-15 00:00:00,103.9155,22.4179
21,2008-10-30 00:00:00,105.686,18.25
83,2015-08-12 00:00:00,103.6099,22.3256
9,2008-06-07 00:00:00,106.7361,10.7069
101,2017-06-28 13:10:00,105.1071076,8.828619884
67,2013-09-05 00:00:00,105.7952,21.6906
64,2013-08-23 00:00:00,103.3984,21.5782
47,2010-11-11 15:00:00,108.6849,15.4546
44,2010-11-11 00:00:00,108.3008,15.3012
